,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
69,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.25),384,1.0,3799.0,692.0,0.0,0.0036
70,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.10),153,1.0,4741.0,685.0,0.0,0.0043
71,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.90)",1383,1.0,1180.0,482.0,3.0,0.0012
72,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.75)",1152,1.0,1287.0,619.0,5.0,0.0012
73,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.50)",768,1.0,1307.0,687.0,6.0,0.0011
74,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.25)",384,1.0,1301.0,729.0,8.0,0.0011
75,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.10)",153,1.0,1855.0,1037.0,11.0,0.0014
76,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,A*,4023.0,1.0,580.0,529.0,0.0,0.0013
77,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,I-A*,-,1.0,1200.0,529.0,0.0,0.0013
78,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,MM,2914.0,1.0,389.0,220.0,0.0,0.0009
79,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,I-MM,-,1.0,520.0,220.0,0.0,0.0009
80,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.90),2622,1.0,3361.0,2325.0,0.0,0.0053
81,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.75),2185,1.0,8885.0,285.0,0.0,0.0125
82,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.50),1457,1.0,9038.0,186.0,0.0,0.0126
83,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.25),728,1.0,12659.0,8859.0,0.0,0.017
84,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.10),291,1.0,25016.0,11563.0,0.0,0.0295
85,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.90),2622,1.0,569.0,1336.0,0.0,0.0014
