,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
116,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,I-A*,-,1.0,3839.0,1752.0,0.0,0.0038
117,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM,3835.0,1.0,737.0,737.0,0.0,0.0015
118,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,I-MM,-,1.0,914.0,737.0,0.0,0.0015
119,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,IDA*,-,1.0,6036.0,2912.0,0.0,0.0032
120,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,D-A*,-,1.0,5326.0,2912.0,0.0,0.0032
121,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.90),3451,1.0,663.0,656.0,0.0,0.01
122,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.75),2876,1.0,774.0,601.0,0.0,0.0143
123,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.50),1917,1.0,635.0,603.0,0.0,0.0141
124,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.25),958,1.0,870.0,620.0,0.0,0.0155
125,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.10),383,1.0,1161.0,838.0,0.0,0.0086
126,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.90),3451,1.0,1961.0,3476.0,0.0,0.003
127,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.75),2876,1.0,1978.0,3407.0,0.0,0.0028
128,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.50),1917,1.0,2107.0,2687.0,0.0,0.0027
129,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.25),958,1.0,2387.0,2723.0,0.0,0.0026
130,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.10),383,1.0,2629.0,2839.0,0.0,0.0025
131,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.90)",3451,1.0,2668.0,1637.0,6.0,0.0029
132,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.75)",2876,1.0,2524.0,1637.0,6.0,0.0026
133,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.50)",1917,1.0,2388.0,1637.0,6.0,0.0022
134,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.25)",958,1.0,2849.0,2010.0,7.0,0.0022
135,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.10)",383,1.0,4109.0,2900.0,12.0,0.0029
136,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,IDMM,-,1.0,5791.0,2009.0,0.0,0.006
137,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,D-MM,-,1.0,2180.0,2009.0,0.0,0.006
138,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,A*,26656.0,1.0,4527.0,4449.0,0.0,0.0101
