,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Runtime(seconds)
88,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MM,21761.0,1.0,2910.0,0.0145
89,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,7219.0,0.0145
90,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(1.00),21761,1.0,34039.0,0.0564
91,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.90),19584,1.0,34039.0,0.0565
92,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.75),16320,1.0,34039.0,0.0565
93,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.50),10880,1.0,48004.0,0.0782
94,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.25),5440,1.0,61390.0,0.0999
95,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.10),2176,1.0,216430.0,0.3415
96,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MM,6051.0,1.0,439.0,0.0027
97,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,1337.0,0.0027
98,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(1.00),6051,1.0,4854.0,0.0081
99,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.90),5445,1.0,4854.0,0.0079
100,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.75),4538,1.0,4854.0,0.0079
101,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.50),3025,1.0,4854.0,0.0077
102,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.25),1512,1.0,6993.0,0.0112
103,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.10),605,1.0,10998.0,0.017
104,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MM,49052.0,1.0,3768.0,0.0272
105,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-MM,-,1.0,7872.0,0.0272
106,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(1.00),49052,1.0,5528.0,0.0114
107,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.90),44146,1.0,5528.0,0.0119
108,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.75),36789,1.0,5528.0,0.0115
109,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.50),24526,1.0,9037.0,0.018
110,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.25),12263,1.0,9037.0,0.0163
111,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.10),4905,1.0,9037.0,0.0157
