,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Runtime(seconds)
78,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,7219.0,0.0147
79,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.90),19584,1.0,35218.0,0.0666
80,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.75),16320,1.0,34966.0,0.064
81,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.50),10880,1.0,48513.0,0.0818
82,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.25),5440,1.0,61494.0,0.0988
83,16.0,0.0,12.0, 0 1 3 2 5 4 7 6 12 13 9 10 11 8 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.10),2176,1.0,216574.0,0.3422
84,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MM,6051.0,1.0,439.0,0.0028
85,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,1337.0,0.0028
86,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.90),5445,1.0,4825.0,0.0099
87,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.75),4538,1.0,5144.0,0.0099
88,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.50),3025,1.0,5034.0,0.0092
89,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.25),1512,1.0,7063.0,0.0117
90,16.0,0.0,13.0, 1 2 0 4 3 7 6 5 14 15 11 12 13 9 10 8, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.10),605,1.0,11002.0,0.0175
91,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MM,49052.0,1.0,3768.0,0.0275
92,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-MM,-,1.0,7872.0,0.0275
